slug	source	title	pillarSlug	category	date	words	hasInternalLinks	status	redirectTarget	reason
cocktail-kits-vs-individual-bottles-the-smart-bachelorette-party-alcohol-strategy	json	Cocktail Kits vs. Individual Bottles: The Smart Bachelorette Party Alcohol Strategy		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:49Z	1029	0	KEEP		default
austin-party-houses-party-alcohol-delivery-ultimate-guide-for-large-group-events-20-guests	json	Austin party houses Party alcohol delivery: Ultimate Guide for Large Group Events (20+ Guests)		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:48Z	2257	0	KEEP		default
austin-party-houses-boat-party-photography-capturing-perfect-memories-at-your-airbnb-hotel-or-home	json	Austin party houses Boat Party Photography: Capturing Perfect Memories at your Airbnb, hotel, or home		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:47Z	997	0	KEEP		default
first-time-austin-party-houses-boat-rental-essential-tips-for-austin-party-planning	json	First-Time Austin party houses Boat Rental: Essential Tips for Austin Party Planning		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:46Z	1186	0	KEEP		default
austin-party-houses-boat-party-entertainment-activities-and-amenities-for-unforgettable-events	json	Austin party houses Boat Party Entertainment: Activities and Amenities for Unforgettable Events		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:45Z	1190	0	KEEP		default
austin-party-houses-sunset-cruises-romantic-and-celebration-options-for-every-occasion	json	Austin party houses Sunset Cruises: Romantic and Celebration Options for Every Occasion		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:44Z	1795	0	KEEP		default
austin-party-houses-boat-party-catering-food-and-beverage-coordination-for-perfect-events	json	Austin party houses Boat Party Catering: Food and Beverage Coordination for Perfect Events		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:43Z	1573	0	KEEP		default
austin-party-houses-bachelorette-party-alcohol-laws-what-you-can-and-cant-bring-on-boats	json	Austin party houses Bachelorette Party Alcohol Laws: What You Can and Can't Bring on Boats		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:19Z	1107	0	KEEP		default
austin-party-houses-boat-safety-and-maintenance-quality-standards-for-party-cruises	json	Austin party houses Boat Safety and Maintenance: Quality Standards for Party Cruises		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:18Z	2482	0	KEEP		default
austin-party-houses-boat-party-regulations-legal-requirements-and-compliance-guide	json	Austin party houses Boat Party Regulations: Legal Requirements and Compliance Guide		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:16Z	2371	0	KEEP		default
austin-party-houses-boat-party-costs-complete-pricing-guide-and-budget-planning	json	Austin party houses Boat Party Costs: Complete Pricing Guide and Budget Planning		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:15Z	1689	0	KEEP		default
austin-party-houses-boat-party-reviews-real-customer-experiences-and-testimonials	json	Austin party houses Boat Party Reviews: Real Customer Experiences and Testimonials		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:14Z	1748	0	KEEP		default
accessible-austin-party-houses-boat-parties-inclusive-event-planning-for-all-guests	json	Accessible Austin party houses Boat Parties: Inclusive Event Planning for All Guests		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:13Z	1427	0	KEEP		default
austin-party-houses-boat-party-insurance-understanding-coverage-and-liability-for-events	json	Austin party houses Boat Party Insurance: Understanding Coverage and Liability for Events		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:12Z	1585	0	KEEP		default
creative-austin-party-houses-boat-party-themes-unique-ideas-for-memorable-celebrations	json	Creative Austin party houses Boat Party Themes: Unique Ideas for Memorable Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:11Z	1594	0	KEEP		default
austin-party-houses-boat-party-logistics-complete-planning-and-coordination-guide	json	Austin party houses Boat Party Logistics: Complete Planning and Coordination Guide		Austin;Event Planning;Party On Delivery	2025-08-12T09:18:10Z	2054	0	KEEP		default
austin-party-houses-boat-party-packages-comprehensive-guide-to-options-and-pricing	json	Austin party houses Boat Party Packages: Comprehensive Guide to Options and Pricing		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:29Z	2146	0	KEEP		default
austin-party-houses-weather-planning-seasonal-considerations-for-perfect-boat-parties	json	Austin party houses Weather Planning: Seasonal Considerations for Perfect Boat Parties		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:28Z	1926	0	KEEP		default
austin-party-houses-boat-safety-essential-guidelines-for-safe-party-cruises	json	Austin party houses Boat Safety: Essential Guidelines for Safe Party Cruises		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:27Z	2305	0	KEEP		default
birthday-party-alcohol-delivery-on-austin-party-houses-milestone-celebrations-with-a-view	json	Birthday Party alcohol delivery on Austin party houses: Milestone Celebrations with a View		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:26Z	1499	0	KEEP		default
austin-bachelorette-weekend-alcohol-timeline-day-by-day-drinking-strategy-for-multi-day-celebrations	json	Austin Bachelorette Weekend Alcohol Timeline: Day-by-Day Drinking Strategy for Multi-Day Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:24Z	1045	0	KEEP		default
austin-party-houses-wedding-alcohol-delivery-unique-venues-for-austin-celebrations	json	Austin party houses Wedding alcohol delivery: Unique Venues for Austin Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:23Z	2143	0	OPTIMIZE		wedding cluster, no triage-keyword match in title
corporate-team-building-on-austin-party-houses-professional-boat-rental-solutions	json	Corporate Team Building on Austin party houses: Professional Boat Rental Solutions		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:22Z	2397	0	KEEP		default
austin-bachelorette-party-supply-deliverys-austin-party-houses-adventures-for-unforgettable-celebrations	json	Austin Bachelorette party supply deliverys: Austin party houses Adventures for Unforgettable Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:21Z	1855	0	KEEP		default
austin-party-houses-bachelor-party-alcohol-delivery-the-ultimate-guide-to-epic-celebrations	json	Austin party houses Bachelor Party alcohol delivery: The Ultimate Guide to Epic Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:20Z	2047	0	KEEP		default
party-alcohol-safety-in-austin-responsible-service-and-guest-well-being	json	Party Alcohol Safety in Austin: Responsible Service and Guest Well-being		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:03Z	1835	0	KEEP		default
austin-party-venue-alcohol-delivery-navigating-policies-and-logistics	json	Austin Party Venue Alcohol Delivery: Navigating Policies and Logistics		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:01Z	1652	0	KEEP		default
holiday-party-alcohol-themes-new-year-s-fourth-of-july-and-austin-celebrations	json	Holiday Party Alcohol Themes: New Year\'s, Fourth of July, and Austin Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:17:00Z	1242	0	KEEP		default
graduation-party-alcohol-planning-ut-and-austin-college-celebrations	json	Graduation Party Alcohol Planning: UT and Austin College Celebrations		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:59Z	1521	0	KEEP		default
pool-party-alcohol-coordination-summer-event-planning-in-austin-heat	json	Pool Party Alcohol Coordination: Summer Event Planning in Austin Heat		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:58Z	1638	0	KEEP		default
birthday-party-alcohol-delivery-austin-milestone-celebrations-made-easy	json	Birthday Party Alcohol Delivery Austin: Milestone Celebrations Made Easy		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:57Z	2477	0	KEEP		default
austin-party-houses-bachelor-party-alcohol-delivery-complete-coordination-guide-for-boat-parties	json	Austin party houses Bachelor Party Alcohol Delivery: Complete Coordination Guide for Boat Parties		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:56Z	1079	0	KEEP		default
wedding-anniversary-celebration-ideas-recreating-your-special-day-with-boat-and-alcohol-packages	json	Wedding Anniversary Celebration Ideas: Recreating Your Special Day with Boat and Alcohol Packages		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:55Z	1646	0	OPTIMIZE		wedding cluster, no triage-keyword match in title
outdoor-wedding-alcohol-logistics-hill-country-and-austin-party-houses-coordination	json	Outdoor Wedding Alcohol Logistics: Hill Country and Austin party houses Coordination		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:54Z	2342	0	OPTIMIZE		wedding cluster, no triage-keyword match in title
austin-wedding-venue-alcohol-policies-delivery-solutions-for-every-location	json	Austin Wedding Venue Alcohol Policies: Delivery Solutions for Every Location		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:15Z	1947	0	OPTIMIZE		wedding cluster, no triage-keyword match in title
wedding-party-alcohol-coordination-getting-ready-bachelor-bachelorette-and-reception	json	Wedding Party Alcohol Coordination: Getting Ready, Bachelor/Bachelorette, and Reception		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:14Z	984	0	OPTIMIZE		wedding cluster, no triage-keyword match in title
rehearsal-dinner-boat-alcohol-delivery-unique-wedding-weekend-experiences	json	Rehearsal Dinner Boat Alcohol Delivery: Unique Wedding Weekend Experiences		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:13Z	1628	0	OPTIMIZE		wedding cluster, no triage-keyword match in title
conference-after-party-alcohol-coordination-sxsw-acl-and-austin-event-integration	json	Conference After-Party Alcohol Coordination: SXSW, ACL, and Austin Event Integration		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:12Z	1736	0	KEEP		default
startup-celebration-alcohol-packages-funding-rounds-launches-and-milestone-events	json	Startup Celebration Alcohol Packages: Funding Rounds, Launches, and Milestone Events		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:11Z	1559	0	KEEP		default
holiday-office-party-alcohol-delivery-stress-free-corporate-celebration-planning	json	Holiday Office Party Alcohol Delivery: Stress-Free Corporate Celebration Planning		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:10Z	2312	0	KEEP		default
executive-retreat-alcohol-planning-balancing-professionalism-and-team-bonding	json	Executive Retreat Alcohol Planning: Balancing Professionalism and Team Bonding		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:09Z	2241	0	KEEP		default
client-entertainment-alcohol-strategy-impressing-without-overdoing-it	json	Client Entertainment Alcohol Strategy: Impressing Without Overdoing It		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:08Z	1996	0	KEEP		default
the-ultimate-austin-bachelorette-party-alcohol-guide-what-to-order-when-to-order-and-how-much-you-actually-need	json	The Ultimate Austin Bachelorette Party Alcohol Guide: What to Order, When to Order, and How Much You Actually Need		Austin;Event Planning;Party On Delivery	2025-08-12T09:16:06Z	1051	0	KEEP		default
austin-bachelorette-parties-best-ways-to-spend-a-weekend-in-austin	json	Austin Bachelorette Parties: Best Ways to Spend a Weekend in Austin			2024-12-11T15:52:30Z	2582	1	KEEP		default
party-on-delivery-well-bring-the-party-to-you-drinks-and-all	json	Party On Delivery: We'll Bring the Party to You, Drinks and All!			2023-09-19T18:36:17Z	301	0	KEEP		default
tips-for-ordering-liquor	json	Tips for Ordering Liquor			2023-07-10T19:17:26Z	359	0	KEEP		default
the-future-of-liquor-delivery-in-austin-texas	json	The Future of Liquor Delivery in Austin, Texas			2023-07-10T19:11:27Z	391	0	KEEP		default
texas-liquor-delivery-history-where-it-all-started	json	Texas Liquor Delivery History, WHERE IT ALL STARTED			2023-07-10T19:05:26Z	247	0	KEEP		default
trending-party-supplies-for-2023	json	Trending Party Supplies for 2023		Alcohol;bachelorette;Custom;Liquor;party;party activities;party games;party supplies;planning	2023-05-17T20:28:44Z	425	0	KEEP		default
planning-a-party-cruise-with-partyon-deliver-items	json	Planning a party cruise with PartyOn!Deliver items		Alcohol;Austin;bachelorette;Liquor;party;party activities;party cruise;party games;party supplies;planning	2023-05-17T17:48:50Z	325	0	KEEP		default
partyondeliver-x-premier-party-cruises-stress-free-party	json	PartyOnDeliver X Premier Party Cruises = Stress free BACHELORETTE party!		Alcohol;Austin;Delivery;party;planning;Service;stress free	2023-05-17T16:52:25Z	458	0	KEEP		default
paryon-delivery-alcohol-delivery-service-for-any-occasion	json	ParyOn!Delivery: Alcohol Delivery Service for Any Occasion		Alcohol;Austin;Delivery;Liquor;Service;Texas	2023-05-16T20:43:41Z	234	0	KEEP		default
custom-liquor-boxes-for-delivery-in-austin	json	Fixin' to Party, Y'all? Party On Delivery Offers the Best Cocktail Kits in Austin		Alcohol;Austin;Custom;Delivery;Liquor;Service;Texas	2023-05-16T20:41:05Z	283	0	KEEP		default
partyon-delivery-alcohol-delivery-services-in-austin-texas	json	PartyOn!Delivery Alcohol Delivery Services in Austin, Texas		Alcohol;Austin;Delivery;Liquor;Service;Texas	2023-05-16T20:40:55Z	366	0	KEEP		default
